Season,Rank,Club,Points
2019,1,Liverpool,99
2019,2,Manchester City,81
2019,3,Manchester United,66
2019,4,Chelsea,66
2019,5,Leicester City,62
2019,6,Tottenham Hotspur,59
2019,7,Wolverhampton Wanderers,59
2019,8,Arsenal,56
2019,9,Sheffield United,54
2019,10,Burnley,54
2019,11,Southampton,52
2019,12,Everton,49
2019,13,Newcastle United,44
2019,14,Crystal Palace,43
2019,15,Brighton & Hove Albion,41
2019,16,West Ham United,39
2019,17,Aston Villa,35
2019,18,AFC Bournemouth,34
2019,19,Watford,34
2019,20,Norwich City,21
2018,1,Manchester City,98
2018,2,Liverpool,97
2018,3,Chelsea,72
2018,4,Tottenham Hotspur,71
2018,5,Arsenal,70
2018,6,Manchester United,66
2018,7,Wolverhampton Wanderers,57
2018,8,Everton,54
2018,9,Leicester City,52
2018,10,West Ham United,52
2018,11,Watford,50
2018,12,Crystal Palace,49
2018,13,Newcastle United,45
2018,14,AFC Bournemouth,45
2018,15,Burnley,40
2018,16,Southampton,39
2018,17,Brighton & Hove Albion,36
2018,18,Cardiff City,34
2018,19,Fulham,26
2018,20,Huddersfield Town,16
2017,1,Manchester City,100
2017,2,Manchester United,81
2017,3,Tottenham Hotspur,77
2017,4,Liverpool,75
2017,5,Chelsea,70
2017,6,Arsenal,63
2017,7,Burnley,54
2017,8,Everton,49
2017,9,Leicester City,47
2017,10,Newcastle United,44
2017,11,Crystal Palace,44
2017,12,AFC Bournemouth,44
2017,13,West Ham United,42
2017,14,Watford,41
2017,15,Brighton & Hove Albion,40
2017,16,Huddersfield Town,37
2017,17,Southampton,36
2017,18,Swansea City,33
2017,19,Stoke City,33
2017,20,West Bromwich Albion,31
2016,1,Chelsea,93
2016,2,Tottenham Hotspur,86
2016,3,Manchester City,78
2016,4,Liverpool,76
2016,5,Arsenal,75
2016,6,Manchester United,69
2016,7,Everton,61
2016,8,Southampton,46
2016,9,AFC Bournemouth,46
2016,10,West Bromwich Albion,45
2016,11,West Ham United,45
2016,12,Leicester City,44
2016,13,Stoke City,44
2016,14,Crystal Palace,41
2016,15,Swansea City,41
2016,16,Burnley,40
2016,17,Watford,40
2016,18,Hull City,34
2016,19,Middlesbrough,28
2016,20,Sunderland,24
2015,1,Leicester City,81
2015,2,Arsenal,71
2015,3,Tottenham Hotspur,70
2015,4,Manchester City,66
2015,5,Manchester United,66
2015,6,Southampton,63
2015,7,West Ham United,62
2015,8,Liverpool,60
2015,9,Stoke City,51
2015,10,Chelsea,50
2015,11,Everton,47
2015,12,Swansea City,47
2015,13,Watford,45
2015,14,West Bromwich Albion,43
2015,15,Crystal Palace,42
2015,16,AFC Bournemouth,42
2015,17,Sunderland,39
2015,18,Newcastle United,37
2015,19,Norwich City,34
2015,20,Aston Villa,17
2014,1,Chelsea,87
2014,2,Manchester City,79
2014,3,Arsenal,75
2014,4,Manchester United,70
2014,5,Tottenham Hotspur,64
2014,6,Liverpool,62
2014,7,Southampton,60
2014,8,Swansea City,56
2014,9,Stoke City,54
2014,10,Crystal Palace,48
2014,11,Everton,47
2014,12,West Ham United,47
2014,13,West Bromwich Albion,44
2014,14,Leicester City,41
2014,15,Newcastle United,39
2014,16,Sunderland,38
2014,17,Aston Villa,38
2014,18,Hull City,35
2014,19,Burnley,33
2014,20,Queens Park Rangers,30
2013,1,Manchester City,86
2013,2,Liverpool,84
2013,3,Chelsea,83
2013,4,Arsenal,79
2013,5,Everton,72
2013,6,Tottenham Hotspur,69
2013,7,Manchester United,64
2013,8,Southampton,56
2013,9,Stoke City,50
2013,10,Newcastle United,49
2013,11,Crystal Palace,45
2013,12,Swansea City,42
2013,13,West Ham United,40
2013,14,Sunderland,38
2013,15,Aston Villa,38
2013,16,Hull City,37
2013,17,West Bromwich Albion,36
2013,18,Norwich City,33
2013,19,Fulham,32
2013,20,Cardiff City,30
2012,1,Manchester United,89
2012,2,Manchester City,78
2012,3,Chelsea,75
2012,4,Arsenal,73
2012,5,Tottenham Hotspur,72
2012,6,Everton,63
2012,7,Liverpool,61
2012,8,West Bromwich Albion,49
2012,9,Swansea City,46
2012,10,West Ham United,46
2012,11,Norwich City,44
2012,12,Fulham,43
2012,13,Stoke City,42
2012,14,Southampton,41
2012,15,Aston Villa,41
2012,16,Newcastle United,41
2012,17,Sunderland,39
2012,18,Wigan Athletic,36
2012,19,Reading,28
